Name,SMILE
12,O=C(O)C(Cc1ccccc1)C[PH](O)(O)C1=CCCN1C(=O)OCc1ccccc1
13,CC(C)CC(C[PH](O)(O)C1=CCCN1C(=O)OCc1ccccc1)C(=O)O
14,CC(C[PH](O)(O)C1=CCCN1C(=O)OCc1ccccc1)C(=O)O
15,CC(NC(=O)OCc1ccccc1)P(=O)(O)CC(Cc1ccccc1)C(=O)O
16,O=C(NC(Cc1ccccc1)P(=O)(O)CC(Cc1ccccc1)C(=O)O)OCc1ccccc1
17,CC(C)CC(NC(=O)OCc1ccccc1)P(=O)(O)CC(Cc1ccccc1)C(=O)O
26,O=C(O)C(Cc1ccccc1)C[PH](O)(O)C1=NCCC1
27,CC(=O)NC(C)C(=O)N1CCC=C1[PH](O)(O)CC(Cc1ccccc1)C(=O)O
28,CC(=O)NC(CC(C)C)C(=O)N1CCC=C1[PH](O)(O)CC(Cc1ccccc1)C(=O)O
29,CC(=O)NC(CCCCN)C(=O)N1CCC=C1[PH](O)(O)CC(Cc1ccccc1)C(=O)O
30,CC(=O)NC(CCC(=O)O)C(=O)N1CCC=C1[PH](O)(O)CC(Cc1ccccc1)C(=O)O
31,CC(=O)NC(Cc1ccc(O)cc1)C(=O)N1CCC=C1[PH](O)(O)CC(Cc1ccccc1)C(=O)O
32,CC(=O)NC(Cc1ccccc1)C(=O)N1CCC=C1[PH](O)(O)CC(Cc1ccccc1)C(=O)O
33,CC(=O)NC(C(=O)N1CCC=C1[PH](O)(O)CC(Cc1ccccc1)C(=O)O)C(C)C
34,CC(=O)NC(Cc1cnc[nH]1)C(=O)N1CCC=C1[PH](O)(O)CC(Cc1ccccc1)C(=O)O
35,CC(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)P(=O)(O)CC(Cc1ccccc1)C(=O)O
36,CC(=O)NC(Cc1cnc[nH]1)C(=O)NC(CC(C)C)P(=O)(O)CC(Cc1ccccc1)C(=O)O
40,CC(=O)NC(CC(C)C)C(=O)N1CCC=C1[PH](O)(O)CC(Cc1cc(-c2ccccc2)no1)C(=O)O
41,CC(=O)NC(Cc1cnc[nH]1)C(=O)N1CCC=C1[PH](O)(O)CC(Cc1cc(-c2ccccc2)no1)C(=O)O
44,CC(=O)NC(Cc1cnc[nH]1)C(=O)NC(CC(C)C)P(=O)(O)CC(Cc1cc(-c2ccccc2)no1)C(=O)O
18,CC(=N)[PH](O)(O)CC(Cc1ccccc1)C(=O)O
19,N=C(Cc1ccccc1)[PH](O)(O)CC(Cc1ccccc1)C(=O)O
20,CC(C)CC(=N)[PH](O)(O)CC(Cc1ccccc1)C(=O)O
4,CC[C@H](N[C@@H](Cc1cncn1Cc1ccccc1)C(=O)O)C(=O)O
5,O=C(O)[C@H](Cc1ccccc1)N[C@@H](Cc1cncn1Cc1ccccc1)C(=O)O
6,CC(C)C[C@H](N[C@@H](Cc1cncn1CC1CCCCC1)C(=O)O)C(=O)O
8,CC(C)C[C@H](N[C@@H](Cc1cncn1Cc1ccc([N+](=O)[O-])cc1)C(=O)O)C(=O)O
9,CC(C)C[C@H](N[C@@H](Cc1cncn1Cc1ccc(Cl)cc1)C(=O)O)C(=O)O
10,CC(C)C[C@H](N[C@@H](Cc1cncn1Cc1ccc(OC(F)(F)F)cc1)C(=O)O)C(=O)O
11,Cc1ccc(Cn2cncc2C[C@H](N[C@@H](CC(C)C)C(=O)O)C(=O)O)cc1
12,Cc1ccccc1Cn1cncc1C[C@H](N[C@@H](CC(C)C)C(=O)O)C(=O)O
13,Cc1cccc(Cn2cncc2C[C@H](N[C@@H](CC(C)C)C(=O)O)C(=O)O)c1
14,Cc1ccc(Cn2cncc2C[C@H](N[C@@H](CC(C)C)C(=O)O)C(=O)O)cc1C
15,Cc1cc(C)cc(Cn2cncc2C[C@H](N[C@@H](CC(C)C)C(=O)O)C(=O)O)c1
MLN-4760,CC(C)C[C@H](N[C@@H](Cc1cncn1Cc1cc(Cl)cc(Cl)c1)C(=O)O)C(=O)O
7,CC(C)C[C@H](N[C@@H](Cc1cncn1C(C)(C)C1CCCCC1)C(=O)O)C(=O)O
126874-65-5.mol,CCC(C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC)C(C)C)[C@@H](C)CC)C(=O)O
126874-65-5.mol,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)O)C(C)O
126874-65-5.mol,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)O)C(C)O
126874-65-5.mol,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@@H](N)CCCN=C(N)N)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O
126874-65-5.mol,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@@H](N)CCCN=C(N)N)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O
126761-43-1.mol,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O
126761-43-1.mol,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O
126761-43-1.mol,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O
126761-43-1.mol,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O
126761-43-1.mol,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](N)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O
126761-43-1.mol,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CCCN)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O
126761-43-1.mol,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CCCN)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O
123805,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)O
123805,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](C)C(=O)O
123805,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](C)C(=O)O
123805,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@@H](N)CCCN=C(N)N)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)O
126761-43-1.mol,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)C(C)C)C(=O)O[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)O)c1cnc[nH]1
126761-43-1.mol,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)C(C)C)C(=O)O[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)C(C)C)c1cnc[nH]1
,CC(C)[C@H](N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O
123805,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)C(C)C)C(=O)O
123805,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O
123805,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)O
