Name,SMILE
,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3F)c2)cnc1N
,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3C)c2)cnc1N
,Cc1ccc(O)cc1-n1c(=O)c2c(c3c(N)ncnc31)CCCC2
 ,Nc1ncnc2c1c(-c1ccccc1)nn2-c1ccccc1
  ,Nc1nc(N)c2c(Nc3cccc(Cl)c3)[nH]nc2n1
  ,Nc1ncnc2n[nH]c(Nc3cccc(Cl)c3)c12
  ,c1ccc(Nc2ncnc3n[nH]c(Nc4ccccc4)c23)cc1
  ,Clc1cccc(Nc2[nH]nc3ncnc(Nc4ccccc4)c23)c1
  ,Clc1cccc(Nc2ncnc3n[nH]c(Nc4cccc(Cl)c4)c23)c1
  ,Clc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Br)c4)c23)c1
  ,Cc1cccc(Nc2ncnc3n[nH]c(Nc4cccc(Cl)c4)c23)c1
  ,COc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1
  ,Oc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1
  ,COc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1
  ,Oc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1
  ,CC(C)(C)OC(=O)Nc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1
  ,Nc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1
  ,CN(C)c1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1
  ,Clc1cccc(Nc2ncnc3n[nH]c(NCc4ccccc4)c23)c1
  ,Clc1cccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1
  ,COc1cccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1
  ,COc1ccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1
  ,Clc1cccc(Nc2ncnc3n[nH]c(-c4ccccc4)c23)c1
  ,Oc1cccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1
  ,COc1ccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1
  ,Oc1ccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1
  ,O=[N+]([O-])c1cccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1
  ,Nc1cccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1
  ,CC(C)(C)OC(=O)Nc1ccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1
  ,Nc1ccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1
  ,Clc1cccc(Nc2[nH]nc3ncnc(Oc4cccc(Cl)c4)c23)c1
  ,Clc1cccc(Nc2[nH]nc3ncnc(NCc4ccccc4)c23)c1
