File,Affinity,SMILES
out_1_EGFR.pdbqt,-7.5,CNC(=N)C(N)=NC=NC=Cc1ccc(Cl)c(NC=O)c1
out_10_EGFR.pdbqt,-8.8,CNC1c2nc(cnc2N)C=CC=C(Cl)C(=O)S2(=O)(F)NC1C=C2F
out_11_EGFR.pdbqt,-9.0,C#CC=S-C(F)CNS(=O)(=O)c1cc(-c2cnc(N)c(C(=O)NC)n2)ccc1Cl
out_12_EGFR.pdbqt,-8.1,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)NC=CC=CCF)c2)cnc1N
out_14_EGFR.pdbqt,-8.3,CN=C(N)CNOc1ccc(S(=O)(=O)NC2=CC=CC(CF)C2)c(Cl)c1
out_15_EGFR.pdbqt,-8.3,CNCc1nc2cnc1NC=C(S(=O)(=O)Nc1cccc(F)c1C)C(Cl)C=C2
out_16_EGFR.pdbqt,-8.8,C=C(C(Cl)=CC=C1N=C(C=O)CN=NC1C)S(=O)(=O)Nc1cccc(F)c1C
out_17_EGFR.pdbqt,-7.7,CNC(=O)C1=NC(=CC=CC(Cl)S(=O)(=O)N2CC(C)=C(C)CC2C)CN=C1N
out_18_EGFR.pdbqt,-7.7,O=CC1=C(F)C=C=CN1S(=O)C1(Cl)C=CC=CPCN=CC(=O)NC1
out_19_EGFR.pdbqt,-10.3,CNC(=O)C1=NC(=CC=C(Cl)CS(=O)(=O)Nc2cccc(F)c2C)CN=S-1N
out_100_EGFR.pdbqt,-8.9,C=C(Cl)C=CC=CNC1CC=CCNC=NC=NC=NN1
out_102_EGFR.pdbqt,-8.3,Cc1cccc(NC2=NC=NC(N=NN)C2=CC2=CC=C=C2)c1
out_103_EGFR.pdbqt,-9.5,CC=C=NCNCNN=CC(=NC=N)Nc1cccc(C)c1
out_104_EGFR.pdbqt,-9.5,Cc1ccc2c(c1)C1C=NC3=NN(N)N(C#CC=CC(Cl)=C2)C3=C1
out_105_EGFR.pdbqt,-7.9,CC(Cl)C=CC=CNC1CC=CCNC=NC=NC=NN1
out_106_EGFR.pdbqt,-8.7,CC1C=C(N)C=CN1C1C=NC(=NN)C-C1=CNc1cccc(Cl)c1
out_107_EGFR.pdbqt,-7.8,C=CC(OC)C1=CC(NC=CC=CC(C)Cl)C=NC=NN1
out_108_EGFR.pdbqt,-7.6,C=CC(Cl)C1=NC=NC2(CC)c3c(ccc(OC)c32)NC=C1
out_109_EGFR.pdbqt,-8.9,COCC=CC1=CCNc2c3cncnc3nn2N(C=CCl)CC=C1
out_110_EGFR.pdbqt,-8.2,C=CC(C)=C=CC1=NC=NCN(N)C(Cl)(N=CC)C=CC1
out_111_EGFR.pdbqt,-8.7,COc1ccc2c(c1)N(Nc1cccc(Cl)c1)C=NC=NNCN2
out_112_EGFR.pdbqt,-7.6,ClC1(N2CC=CCC2OCC=NP-Nc2ccccc2)NN=CP1
