,DSSTox_CID,NR-AR-LBD,SMILES
0,26838,0.0,CC(NCCC(c1ccccc1)c1ccccc1)c1ccccc1.Cl
1,5569,0.0,Oc1ccccc1[Hg]Cl
2,910,0.0,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
3,17550,0.0,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
4,22457,0.0,CCCOc1sc(C(=O)N2CCC(c3cc(CN)ccc3F)CC2)c(C)c1Br.Cl
5,10777,0.0,CCN(CC)CCOc1ccc(C(O)(Cc2ccc(Cl)cc2)c2ccc(C)cc2)cc1
6,24788,0.0,CN1C(=O)N(c2ccccc2Br)Cc2cnc(Nc3ccc4c(c3)OCC(CO)O4)nc21
7,3026,0.0,O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1Cl
8,7146,0.0,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
9,28930,0.0,c1cnc2c(c1)ccc1cccnc12
10,14177,0.0,CCN(CC)C(=S)SSC(=S)N(CC)CC
11,9227,0.0,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1.Cl
12,21180,0.0,CN1C2CCC1CC(OC(c1ccccc1)c1ccc(Cl)cc1)C2
13,4103,0.0,CS(=O)(=O)O.Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
14,1964,0.0,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1
15,12640,0.0,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1.Cl
16,25451,0.0,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
17,27923,0.0,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-]
18,4993,0.0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1
19,62,0.0,CCCCCCCCCCOCC(O)CN.Cl
20,26151,0.0,CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1
