,DSSTox_CID,NR-ER,SMILES
0,4106,0.0,Cl.O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1
1,25765,0.0,COc1ccc2c(c1)OC(C)(C)[C@@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1
2,12626,0.0,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
3,1553,0.0,CC1(C)CNC(=NN=C(/C=C/c2ccc(C(F)(F)F)cc2)/C=C/c2ccc(C(F)(F)F)cc2)NC1
4,21659,0.0,CCCCCCCCCC[N+](C)(CCCCCCCCCC)CCC[Si](OC)(OC)OC.[Cl-]
5,7245,0.0,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1
6,28522,0.0,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12.Cl
7,16760,0.0,CCCCCCCCCCOCC(O)CN.Cl
8,425,0.0,CCN(CC)c1ccc2c(C)cc(=O)oc2c1
9,24452,0.0,Cc1cc(=O)oc2cc(N(C)C)ccc12
10,9654,0.0,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O
11,5270,0.0,Nc1ccc2c3c(cccc13)-c1ccccc1-2
12,27168,0.0,CCOC(=O)Oc1c(OC)cc(C(=O)O[C@@H]2C[C@@H]3CN4CCc5c([nH]c6cc(OC)ccc56)[C@H]4C[C@@H]3[C@H](C(=O)OC)[C@H]2OC)cc1OC
13,2638,0.0,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21
14,14967,0.0,CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C
15,20208,0.0,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
16,6259,0.0,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
17,26242,0.0,CN1CCN(C2Cc3ccccc3Sc3ccc(Cl)cc32)CC1.O=C(O)/C=C\C(=O)O
18,29339,0.0,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1
19,3190,0.0,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1.Cl.Cl
20,18728,0.0,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl
21,25183,0.0,CCCCCCCCCCCCN1CCCCCC1=O
22,11457,0.0,Nc1ccc2cc3ccc(N)cc3nc2c1.Nc1ccc2cc3ccc(N)cc3nc2c1.O=S(=O)(O)O
