,DSSTox_CID,SR-ARE,SMILES
0,4316,0.0,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1
1,27509,0.0,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12
2,17745,0.0,O=C(CCl)c1ccc(Cl)cc1Cl
3,1145,0.0,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
4,9220,0.0,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-]
5,24389,0.0,CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1
6,31496,0.0,C[C@@H](O[C@H]1OCCN(CC2=NC(=O)N=N2)[C@H]1C1CCC(F)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
7,6862,0.0,CC1=CC(=O)c2ccccc2C1=O
8,21274,0.0,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-]
9,13102,0.0,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-]
10,28786,0.0,Cc1cc(OCCOCC[N+](C)(C)Cc2ccccc2)ccc1C(C)(C)CC(C)(C)C.[Cl-]
11,25748,0.0,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
12,2526,0.0,CCCCCCCCCCCCCCCCC(C(=O)O)C(O)(CC(=O)O)C(=O)O
13,5765,0.0,Cc1cc(=O)oc2cc(O)ccc12
14,129,0.0,CCN1C(=CC=Cc2ccc3ccccc3[n+]2CC)C=Cc2ccccc21.[I-]
15,14930,0.0,CC(=O)O.Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12
16,7977,0.0,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
17,22437,0.0,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
18,3550,0.0,O=C(O)Cn1c(C(=O)Nc2nc(-c3ccccc3Cl)cs2)cc2ccccc21
19,1617,0.0,C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
20,11626,0.0,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
21,26670,0.0,C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C
22,4702,0.0,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC
23,25163,0.0,CCN(CC)CCSC(=O)C(c1ccccc1)c1ccccc1
24,20464,0.0,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
25,7401,0.0,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
26,751,0.0,COc1cccc(C(=O)CCN[C@@H](C)[C@H](O)c2ccccc2)c1.Cl
27,5276,0.0,CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1.Cl
28,29376,0.0,O=C(CCN1CCC(c2ccccc2)C1)c1ccc2c(c1)OCCO2
29,18797,0.0,CCCCN(CCN(CCCC)C(=O)N1CCOCC1)C(=O)N1CCOCC1
30,10193,0.0,O=C(N/N=C/c1ccccc1O)c1ccncc1
