,DSSTox_CID,SR-MMP,SMILES
0,586,0.0,OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
1,27127,0.0,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1.O=C(O)/C=C\C(=O)O
2,10429,0.0,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
3,5133,0.0,CC(C)(c1ccccc1)c1ccc(O)c(C(C)(C)c2ccccc2)c1
4,20750,0.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-]
5,24716,0.0,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1.CS(=O)(=O)O
6,14300,0.0,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([O-])C(F)(F)F
7,7556,0.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.F[P-](F)(F)(F)(F)F
8,3217,0.0,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.[Cl-]
9,28732,0.0,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.[Cl-]
10,17072,0.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-]
11,1602,0.0,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-]
12,26110,0.0,CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-]
13,6173,0.0,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
14,22614,0.0,Cc1cccc(C)c1OCC(C)N.Cl
15,12722,0.0,CC(NCCC(c1ccccc1)c1ccccc1)c1ccccc1.Cl
16,9263,0.0,CO.COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl
17,4175,0.0,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
18,21612,0.0,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-]
19,25251,0.0,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
20,18801,0.0,Cc1cc(OCCOCC[N+](C)(C)Cc2ccccc2)ccc1C(C)(C)CC(C)(C)C.[Cl-]
21,6902,0.0,CCN1C(=CC=CC=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21.[I-]
22,27578,0.0,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-]
23,2246,0.0,CCCCCCCCCCCC[n+]1ccc2ccccc2c1.Cc1ccc(S(=O)(=O)[O-])cc1
24,105,0.0,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl
25,1098,0.0,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
26,29279,0.0,CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
27,15481,0.0,O=C1c2c(O)ccc([N+](=O)[O-])c2C(=O)c2c([N+](=O)[O-])ccc(O)c21
28,5612,0.0,CC[C@H](C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H]([NH2+]C)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.O=C([O-])c1ccccc1
29,11626,0.0,Cc1cc(O)c(C(C)(C)C)cc1C(C)(C)C
30,3724,0.0,CCCC(c1cc(C(C)(C)C)c(O)cc1C)c1cc(C(C)(C)C)c(O)cc1C
31,4585,0.0,CCc1cc(Cc2cc(CC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1
32,26628,0.0,Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C
33,1899,0.0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1
34,25846,0.0,CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2
35,24490,0.0,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O
36,2841,0.0,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-]
37,27944,0.0,CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2ccccc2)cc1.O=S(=O)([O-])O
38,13513,0.0,C/C=C/C(=O)Oc1c(CCCCCC(C)C)cc([N+](=O)[O-])cc1[N+](=O)[O-]
39,9692,0.0,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
40,17706,0.0,CCC(C)Nc1ccc(NC(C)CC)cc1
41,14724,0.0,CC=O
42,7284,0.0,O=C(Nc1ccc2[nH]ccc2c1)c1cc2cc(F)ccc2n1Cc1cccc(F)c1
43,20129,0.0,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1
44,21360,0.0,CCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
45,22198,0.0,CCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
46,1356,0.0,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-]
47,7824,0.0,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-]
48,6647,0.0,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
49,24208,0.0,CCN1CCC2(CC1)COc1cc3c(cc12)N(C(=O)c1ccc(-c2ccc(-c4nnc(C)o4)cc2C)cc1)CC3.Cl
50,290,0.0,COc1cccc2c1[C@@H]1CN(CCCCn3c(=O)[nH]c4c(sc5ncc(-c6ccccc6)nc54)c3=O)C[C@@H]1CO2.Cl
51,28982,0.0,CS(=O)(=O)O.Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
52,16293,0.0,Oc1cc2ccccc2c2ccccc12
53,819,0.0,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1.[Br-]
54,2477,0.0,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
55,25687,0.0,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
56,28526,0.0,COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2
57,4815,0.0,Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1
58,5866,0.0,CC(C)(c1ccccc1)c1ccc(O)c(C(C)(C)c2ccccc2)c1
59,24919,0.0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1
60,3998,0.0,CCN(Cc1cccnc1)C(=O)c1cccc(Cl)c1[C@]1(C)C(=O)N(Cc2ccc(OC)cc2OC)c2ccc(Cl)cc21.Cl
61,26332,0.0,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12.Cl
